Price,Adj Close,Close,High,Low,Open,Volume,Date,Daily Return
Ticker,SPY,SPY,SPY,SPY,SPY,SPY,,
Date,,,,,,,,
2015-01-02 00:00:00+00:00,173.1737823486328,205.42999267578125,206.8800048828125,204.17999267578125,206.3800048828125,121465900,2015-01-02 00:00:00+00:00,
2015-01-05 00:00:00+00:00,170.0463104248047,201.72000122070312,204.3699951171875,201.35000610351562,204.1699981689453,169632600,2015-01-05 00:00:00+00:00,-0.01805973099052549
2015-01-06 00:00:00+00:00,168.4446563720703,199.82000732421875,202.72000122070312,198.86000061035156,202.08999633789062,209151400,2015-01-06 00:00:00+00:00,-0.009418928577357377
2015-01-07 00:00:00+00:00,170.54364013671875,202.30999755859375,202.72000122070312,200.8800048828125,201.4199981689453,125346700,2015-01-07 00:00:00+00:00,0.012460969732468463
2015-01-08 00:00:00+00:00,173.56993103027344,205.89999389648438,206.16000366210938,203.99000549316406,204.00999450683594,147217800,2015-01-08 00:00:00+00:00,0.017744964814452313
2015-01-09 00:00:00+00:00,172.1790771484375,204.25,206.4199981689453,203.50999450683594,206.39999389648438,158567300,2015-01-09 00:00:00+00:00,-0.008013219073027988
2015-01-12 00:00:00+00:00,170.83026123046875,202.64999389648438,204.60000610351562,201.9199981689453,204.41000366210938,144396100,2015-01-12 00:00:00+00:00,-0.007833796883496613
2015-01-13 00:00:00+00:00,170.3498077392578,202.0800018310547,205.47999572753906,200.50999450683594,204.1199951171875,214553300,2015-01-13 00:00:00+00:00,-0.0028124612568657392
2015-01-14 00:00:00+00:00,169.3213348388672,200.86000061035156,201.10000610351562,198.57000732421875,199.64999389648438,192991100,2015-01-14 00:00:00+00:00,-0.006037417441438153
2015-01-15 00:00:00+00:00,167.7702178955078,199.02000427246094,202.00999450683594,198.8800048828125,201.6300048828125,176613900,2015-01-15 00:00:00+00:00,-0.009160788537578402
2015-01-16 00:00:00+00:00,169.9704132080078,201.6300048828125,201.82000732421875,198.5500030517578,198.77000427246094,211879600,2015-01-16 00:00:00+00:00,0.013114337813343813
2015-01-20 00:00:00+00:00,170.33291625976562,202.05999755859375,202.72000122070312,200.1699981689453,202.39999389648438,130991100,2015-01-20 00:00:00+00:00,0.0021327420750232307
2015-01-21 00:00:00+00:00,171.1927490234375,203.0800018310547,203.66000366210938,200.94000244140625,201.5,122942700,2015-01-21 00:00:00+00:00,0.005047954221370832
2015-01-22 00:00:00+00:00,173.7386016845703,206.10000610351562,206.25999450683594,202.3300018310547,203.99000549316406,174356000,2015-01-22 00:00:00+00:00,0.014871264557964725
2015-01-23 00:00:00+00:00,172.7860107421875,204.97000122070312,206.10000610351562,204.80999755859375,205.7899932861328,117516800,2015-01-23 00:00:00+00:00,-0.005482897485915572
2015-01-26 00:00:00+00:00,173.1905975341797,205.4499969482422,205.55999755859375,203.85000610351562,204.7100067138672,92009700,2015-01-26 00:00:00+00:00,0.002341548313166797
2015-01-27 00:00:00+00:00,170.90615844726562,202.74000549316406,204.1199951171875,201.74000549316406,202.97000122070312,134044600,2015-01-27 00:00:00+00:00,-0.013190318178001648
2015-01-28 00:00:00+00:00,168.71441650390625,200.13999938964844,204.2899932861328,199.91000366210938,204.1699981689453,168514300,2015-01-28 00:00:00+00:00,-0.012824242047636103
2015-01-29 00:00:00+00:00,170.2738800048828,201.99000549316406,202.3000030517578,198.67999267578125,200.3800048828125,173585400,2015-01-29 00:00:00+00:00,0.009243214262845578
2015-01-30 00:00:00+00:00,168.1327667236328,199.4499969482422,202.1699981689453,199.1300048828125,200.57000732421875,197729700,2015-01-30 00:00:00+00:00,-0.01257452570640083
2015-02-02 00:00:00+00:00,170.2148895263672,201.9199981689453,202.02999877929688,197.86000061035156,200.0500030517578,163107000,2015-02-02 00:00:00+00:00,0.012383801464213473
2015-02-03 00:00:00+00:00,172.6764373779297,204.83999633789062,204.85000610351562,202.5500030517578,203.0,124212900,2015-02-03 00:00:00+00:00,0.014461413207809803
